0	       0        0 0.258819 0.965926
0.002	1.60568e-25 2.07055e-09    0.258819    0.965926
0.004	 4.2818e-25 1.65644e-08    0.258819    0.965926
0.006	 8.5636e-25 5.59049e-08    0.258819    0.965926
0.008	6.85088e-24 1.32515e-07    0.258819    0.965926
0.01	1.37018e-23 2.58819e-07    0.258819    0.965926
0.012	6.85088e-24 4.47239e-07    0.258819    0.965926
0.014	4.11053e-23   7.102e-07    0.258818    0.965926
0.016	          0 1.06012e-06    0.258818    0.965926
0.018	2.74035e-23 1.50943e-06    0.258818    0.965926
0.02	          0 2.07055e-06    0.258817    0.965926
0.022	1.09614e-22 2.75591e-06    0.258816    0.965927
0.024	1.09614e-22 3.57792e-06    0.258816    0.965927
0.026	          0 4.54901e-06    0.258815    0.965927
0.028	-1.09614e-22   5.6816e-06     0.258814     0.965927
0.03	4.38456e-22 6.98813e-06    0.258813    0.965928
0.032	1.09614e-21   8.481e-06    0.258811    0.965928
0.034	4.38455e-22 1.01727e-05     0.25881    0.965928
0.036	          0 1.20755e-05    0.258808    0.965929
0.038	4.38455e-22  1.4202e-05    0.258806    0.965929
0.04	8.76909e-22 1.65645e-05    0.258804     0.96593
0.042	          0 1.91755e-05    0.258801    0.965931
0.044	1.31536e-21 2.20474e-05    0.258798    0.965931
0.046	4.38454e-22 2.51926e-05    0.258796    0.965932
0.048	          0 2.86235e-05    0.258792    0.965933
0.05	1.75381e-21 3.23527e-05    0.258789    0.965934
0.052	1.75381e-21 3.63924e-05    0.258785    0.965935
0.054	8.76904e-22 4.07551e-05    0.258781    0.965936
0.056	-8.76903e-22  4.54533e-05     0.258777     0.965937
0.058	8.76902e-22 5.04994e-05    0.258772    0.965938
0.06	  8.769e-22 5.59057e-05    0.258767     0.96594
0.062	 3.5076e-21 6.16848e-05    0.258761    0.965941
0.064	3.50759e-21 6.78491e-05    0.258756    0.965943
0.066	          0 7.44109e-05     0.25875    0.965944
0.068	3.50758e-21 8.13827e-05    0.258743    0.965946
0.07	         0 8.8777e-05   0.258736   0.965948
0.072	1.75378e-21 9.66061e-05    0.258729     0.96595
0.074	-1.75378e-21  0.000104883     0.258721     0.965952
0.076	1.75377e-21 0.000113619    0.258713    0.965954
0.078	3.50754e-21 0.000122827    0.258704    0.965957
0.08	         0 0.00013252   0.258695   0.965959
0.082	3.50752e-21  0.00014271    0.258686    0.965961
0.084	3.50751e-21 0.000153409    0.258676    0.965964
0.086	         0 0.00016463   0.258665   0.965967
0.088	3.50749e-21 0.000176386    0.258654     0.96597
0.09	3.50748e-21 0.000188688    0.258643    0.965973
0.092	3.50747e-21  0.00020155    0.258631    0.965976
0.094	3.50746e-21 0.000214983    0.258618     0.96598
0.096	3.50744e-21    0.000229    0.258605    0.965983
0.098	          0 0.000243614    0.258592    0.965987
0.1	2.10445e-20 0.000258836    0.258578     0.96599
0.102	2.10444e-20  0.00027468    0.258563    0.965994
0.104	2.10443e-20 0.000291158    0.258547    0.965999
0.106	1.40295e-20 0.000308282    0.258531    0.966003
0.108	7.01471e-21 0.000326065    0.258515    0.966007
0.11	          0 0.000344519    0.258498    0.966012
0.112	2.80586e-20 0.000363656     0.25848    0.966017
0.114	2.10438e-20  0.00038349    0.258461    0.966022
0.116	          0 0.000404032    0.258442    0.966027
0.118	1.40291e-20 0.000425295    0.258422    0.966032
0.12	          0 0.000447291    0.258402    0.966037
0.122	          0 0.000470033     0.25838    0.966043
0.124	          0 0.000493534    0.258359    0.966049
0.126	1.40287e-20 0.000517805    0.258336    0.966055
0.128	2.80573e-20 0.000542859    0.258312    0.966061
0.13	4.20856e-20 0.000568709    0.258288    0.966068
0.132	          0 0.000595367    0.258263    0.966074
0.134	1.40284e-20 0.000622846    0.258238    0.966081
0.136	2.80565e-20 0.000651157    0.258211    0.966088
0.138	2.80563e-20 0.000680315    0.258184    0.966095
0.14	1.4028e-20 0.00071033   0.258156   0.966103
0.142	2.80558e-20 0.000741215    0.258127    0.966111
0.144	          0 0.000772984    0.258098    0.966119
0.146	1.40277e-20 0.000805648    0.258067    0.966127
0.148	1.40276e-20 0.000839219    0.258036    0.966135
0.15	5.61098e-20 0.000873711    0.258004    0.966144
0.152	          0 0.000909136    0.257971    0.966152
0.154	1.40272e-20 0.000945506    0.257937    0.966161
0.156	5.61082e-20 0.000982834    0.257902    0.966171
0.158	2.80538e-20  0.00102113    0.257866     0.96618
0.16	         0 0.00106041   0.257829    0.96619
0.162	5.61065e-20  0.00110069    0.257792      0.9662
0.164	5.61059e-20  0.00114197    0.257753     0.96621
0.166	5.61053e-20  0.00118428    0.257714    0.966221
0.168	8.4157e-20 0.00122761   0.257673   0.966231
0.17	2.8052e-20 0.00127199   0.257632   0.966242
0.172	2.80517e-20  0.00131743    0.257589    0.966254
0.174	8.41541e-20  0.00136394    0.257546    0.966265
0.176	8.41531e-20  0.00141154    0.257502    0.966277
0.178	         0 0.00146022   0.257456   0.966289
0.18	5.61006e-20  0.00151002     0.25741    0.966301
0.182	-5.60999e-20   0.00156093     0.257362     0.966314
0.184	         0 0.00161298   0.257313   0.966327
0.186	-2.80492e-20   0.00166618     0.257264      0.96634
0.188	-2.80488e-20   0.00172053     0.257213     0.966353
0.19	         0 0.00177605   0.257161   0.966367
0.192	2.8048e-20 0.00183276   0.257108   0.966381
0.194	-5.60952e-20   0.00189066     0.257054     0.966395
0.196	1.12189e-19  0.00194976    0.256999     0.96641
0.198	1.12187e-19  0.00201009    0.256943    0.966425
0.2	2.2437e-19 0.00207165   0.256885    0.96644
0.202	2.24367e-19  0.00213446    0.256826    0.966455
0.204	1.12182e-19  0.00219853    0.256767    0.966471
