0	1 0 0 0 1 0 0 0 1
0.002	1 0 -1.13137e-08 0 1 0 1.13137e-08 0 1
0.004	1 0 -9.05097e-08 0 1 0 9.05097e-08 0 1
0.006	1 0 -3.0547e-07 0 1 0 3.0547e-07 0 1
0.008	1 0 -7.24077e-07 0 1 0 7.24077e-07 0 1
0.01	1 0 -1.41421e-06 0 1 0 1.41421e-06 0 1
0.012	1 0 -2.44376e-06 0 1 0 2.44376e-06 0 1
0.014	1 0 -3.88061e-06 0 1 0 3.88061e-06 0 1
0.016	1 0 -5.79263e-06 0 1 0 5.79263e-06 0 1
0.018	1 0 -8.24771e-06 0 1 0 8.24771e-06 0 1
0.02	1 0 -1.13137e-05 0 1 0 1.13137e-05 0 1
0.022	1 0 -1.50586e-05 0 1 0 1.50586e-05 0 1
0.024	1 0 -1.95502e-05 0 1 0 1.95502e-05 0 1
0.026	1 0 -2.48563e-05 0 1 0 2.48563e-05 0 1
0.028	1 0 -3.1045e-05 0 1 0 3.1045e-05 0 1
0.03	1 0 -3.81841e-05 0 1 0 3.81841e-05 0 1
0.032	1 0 -4.63414e-05 0 1 0 4.63414e-05 0 1
0.034	1 0 -5.55849e-05 0 1 0 5.55849e-05 0 1
0.036	1 0 -6.59824e-05 0 1 0 6.59824e-05 0 1
0.038	1 0 -7.7602e-05 0 1 0 7.7602e-05 0 1
0.04	1 0 -9.05114e-05 0 1 0 9.05114e-05 0 1
0.042	1 0 -0.000104779 0 1 0 0.000104779 0 1
0.044	1 0 -0.000120471 0 1 0 0.000120471 0 1
0.046	1 0 -0.000137658 0 1 0 0.000137658 0 1
0.048	1 0 -0.000156406 0 1 0 0.000156406 0 1
0.05	1 0 -0.000176783 0 1 0 0.000176783 0 1
0.052	1 0 -0.000198858 0 1 0 0.000198858 0 1
0.054	1 0 -0.000222698 0 1 0 0.000222698 0 1
0.056	1 0 -0.000248371 0 1 0 0.000248371 0 1
0.058	1 0 -0.000275946 0 1 0 0.000275946 0 1
0.06	1 0 -0.000305489 0 1 0 0.000305489 0 1
0.062	1 0 -0.00033707 0 1 0 0.00033707 0 1
0.064	1 0 -0.000370756 0 1 0 0.000370756 0 1
0.066	1 0 -0.000406615 0 1 0 0.000406615 0 1
0.068	1 0 -0.000444715 0 1 0 0.000444715 0 1
0.07	1 0 -0.000485124 0 1 0 0.000485124 0 1
0.072	1 0 -0.00052791 0 1 0 0.00052791 0 1
0.074	1 0 -0.000573141 0 1 0 0.000573141 0 1
0.076	1 0 -0.000620886 0 1 0 0.000620886 0 1
0.078	1 0 -0.000671211 0 1 0 0.000671211 0 1
